Country Name,Country Code,Indicator Name,Series Code,1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2018 [YR2018]
Argentina,ARG,"Natural capital, forests: ecosystem services (constant 2018 US$)",NW.NCA.FECO.TO,9.98E+10,1.10E+11,1.19E+11,1.18E+11,1.10E+11,1.10E+11
Argentina,ARG,"Natural capital, forests: timber (constant 2018 US$)",NW.NCA.FTIM.TO,6.45E+09,5.17E+09,9.57E+09,1.13E+10,1.20E+10,1.17E+10
Argentina,ARG,"Natural capital, fossil fuels (constant 2018 US$)",NW.NCA.FOSL.TO,2.60E+10,4.53E+10,1.10E+11,1.53E+11,1.17E+11,6.22E+10
Argentina,ARG,"Natural capital, mangroves (constant 2018 US$)",NW.NCA.MANG.TO,0,0,0,0,0,0
Argentina,ARG,"Natural capital, nonrenewable assets (constant 2018 US$)",NW.NCA.SSOI.TO,2.63E+10,4.59E+10,1.19E+11,1.84E+11,1.37E+11,7.07E+10
Argentina,ARG,"Natural capital, nonrenewable assets: coal (constant 2018 US$)",NW.NCA.SACO.TO,9204715,220474,16674371,1.28E+08,53455826,14349504
Argentina,ARG,"Natural capital, nonrenewable assets: gas (constant 2018 US$)",NW.NCA.SAGA.TO,4.62E+09,7.36E+09,1.62E+10,1.66E+10,1.54E+10,9.79E+09
Argentina,ARG,"Natural capital, nonrenewable assets: minerals (constant 2018 US$)",NW.NCA.MINR.TO,3.18E+08,5.96E+08,9.07E+09,3.10E+10,2.01E+10,8.51E+09
Argentina,ARG,"Natural capital, nonrenewable assets: oil (constant 2018 US$)",NW.NCA.SAOI.TO,2.14E+10,3.80E+10,9.42E+10,1.36E+11,1.02E+11,5.24E+10
Argentina,ARG,"Natural capital, protected areas (constant 2018 US$)",NW.NCA.PRAR.TO,1.47E+10,1.56E+10,2.59E+10,2.53E+10,3.63E+10,4.49E+10
Argentina,ARG,"Natural capital, renewable (constant 2018 US$)",NW.NCA.RNEW.TO,3.96E+11,3.93E+11,5.39E+11,5.16E+11,5.31E+11,4.95E+11
Argentina,ARG,Net foreign assets (constant 2018 US$),NW.NFA.TO,-4.10E+10,-7.30E+10,2.99E+10,4.08E+10,4.80E+10,6.29E+10
Argentina,ARG,Net foreign assets per capita (constant 2018 US$),NW.NFA.PC,-1181.88,-1985.3,768.8749,999.8462,1113.765,1414.486
Argentina,ARG,Produced capital (constant 2018 US$),NW.PCA.TO,8.51E+11,9.83E+11,1.04E+12,1.24E+12,1.46E+12,1.60E+12
Argentina,ARG,Produced capital per capita (constant 2018 US$),NW.PCA.PC,24437.37,26670.29,26646.73,30455.35,33771.87,36036.1
Argentina,ARG,Total wealth (constant 2018 US$),NW.TOW.TO,2.61E+12,3.19E+12,3.14E+12,4.40E+12,5.39E+12,5.39E+12
Argentina,ARG,Total wealth per capita (constant 2018 US$),NW.TOW.PC,74956.74,86518.83,80629.2,107906.5,124933.6,121186.6
Armenia,ARM,Human capital (constant 2018 US$),NW.HCA.TO,3.12E+10,3.60E+10,5.74E+10,6.08E+10,8.01E+10,8.49E+10
Armenia,ARM,Human capital per capita (constant 2018 US$),NW.HCA.PC,9685.673,11743.63,19253.15,21142.92,27384.02,28774.68
Armenia,ARM,"Human capital per capita, employed female (constant 2018 US$)",NW.HCA.FEMP.PC,1579.629,2406.83,4052.754,5237.586,6873.583,7157.753
Armenia,ARM,"Human capital per capita, employed male (constant 2018 US$)",NW.HCA.MEMP.PC,3417.863,5188.512,8842.555,9285.896,11490.14,12534.37
Armenia,ARM,"Human capital per capita, female (constant 2018 US$)",NW.HCA.FEMA.PC,3061.489,3721.349,6050.903,7624.747,10249.9,10459.11
Armenia,ARM,"Human capital per capita, male (constant 2018 US$)",NW.HCA.MALE.PC,6624.184,8022.28,13202.24,13518.17,17134.12,18315.57
Armenia,ARM,"Human capital per capita, self-employed female (constant 2018 US$)",NW.HCA.FSEM.PC,1481.86,1314.519,1998.149,2387.161,3376.315,3301.356
Armenia,ARM,"Human capital per capita, self-employed male (constant 2018 US$)",NW.HCA.MSEM.PC,3206.321,2833.768,4359.688,4232.279,5643.976,5781.202
Armenia,ARM,"Human capital, employed female (constant 2018 US$)",NW.HCA.FEMP.TO,5.08E+09,7.39E+09,1.21E+10,1.51E+10,2.01E+10,2.11E+10
Armenia,ARM,"Human capital, employed male (constant 2018 US$)",NW.HCA.MEMP.TO,1.10E+10,1.59E+10,2.64E+10,2.67E+10,3.36E+10,3.70E+10
Armenia,ARM,"Human capital, female (constant 2018 US$)",NW.HCA.FEMA.TO,9.85E+09,1.14E+10,1.80E+10,2.19E+10,3.00E+10,3.09E+10
Armenia,ARM,"Human capital, male (constant 2018 US$)",NW.HCA.MALE.TO,2.13E+10,2.46E+10,3.94E+10,3.89E+10,5.01E+10,5.41E+10
Armenia,ARM,"Human capital, self-employed female (constant 2018 US$)",NW.HCA.FSEM.TO,4.77E+09,4.04E+09,5.96E+09,6.87E+09,9.88E+09,9.74E+09
Armenia,ARM,"Human capital, self-employed male (constant 2018 US$)",NW.HCA.MSEM.TO,1.03E+10,8.70E+09,1.30E+10,1.22E+10,1.65E+10,1.71E+10
Armenia,ARM,Natural capital (constant 2018 US$),NW.NCA.TO,9.41E+09,9.27E+09,8.83E+09,1.29E+10,1.63E+10,1.53E+10
Armenia,ARM,Natural capital per capita (constant 2018 US$),NW.NCA.PC,2923.794,3020.942,2962.038,4480.437,5561.039,5174.8
Armenia,ARM,"Natural capital per capita, agricultural land (constant 2018 US$)",NW.NCA.AGRI.PC,2440.36,2224.375,2137.171,3082.775,3433.933,3372.108
Armenia,ARM,"Natural capital per capita, agricultural land: cropland (constant 2018 US$)",NW.NCA.CROL.PC,1841.299,1260.489,1173.106,1829.83,1853.233,1792.636
Armenia,ARM,"Natural capital per capita, agricultural land: pastureland (constant 2018 US$)",NW.NCA.PASL.PC,599.0609,963.8861,964.0653,1252.945,1580.7,1579.471
Armenia,ARM,"Natural capital per capita, fisheries (constant 2018 US$)",NW.NCA.FISH.PC,0,0,0,0,0,0
Armenia,ARM,"Natural capital per capita, forests: ecosystem services (constant 2018 US$)",NW.NCA.FECO.PC,121.2599,131.4028,253.2756,350.7042,382.4461,437.8112
Armenia,ARM,"Natural capital per capita, forests: timber (constant 2018 US$)",NW.NCA.FTIM.PC,8.67753,8.626368,9.271462,121.3778,251.6246,228.5586
Armenia,ARM,"Natural capital per capita, fossil fuels (constant 2018 US$)",NW.NCA.FOSL.PC,0,0,0,0,0,0.000299
Armenia,ARM,"Natural capital per capita, mangroves (constant 2018 US$)",NW.NCA.MANG.PC,0,0,0,0,0,0
Armenia,ARM,"Natural capital per capita, nonrenewable assets (constant 2018 US$)",NW.NCA.SSOI.PC,52.07309,45.25849,43.41264,259.5203,574.4829,287.1967
Armenia,ARM,"Natural capital per capita, nonrenewable assets: coal (constant 2018 US$)",NW.NCA.SACO.PC,0,0,0,0,0,0.000299
Armenia,ARM,"Natural capital per capita, nonrenewable assets: gas (constant 2018 US$)",NW.NCA.SAGA.PC,0,0,0,0,0,0
Armenia,ARM,"Natural capital per capita, nonrenewable assets: minerals (constant 2018 US$)",NW.NCA.MINR.PC,52.07309,45.25849,43.41264,259.5203,574.4829,287.1964
Armenia,ARM,"Natural capital per capita, nonrenewable assets: oil (constant 2018 US$)",NW.NCA.SAOI.PC,0,0,0,0,0,0
Armenia,ARM,"Natural capital per capita, protected areas (constant 2018 US$)",NW.NCA.PRAR.PC,301.4234,611.2793,518.9075,666.0601,918.552,849.126
Armenia,ARM,"Natural capital per capita, renewable (constant 2018 US$)",NW.NCA.RNEW.PC,2871.721,2975.683,2918.626,4220.917,4986.556,4887.603
Armenia,ARM,"Natural capital, agricultural land (constant 2018 US$)",NW.NCA.AGRI.TO,7.85E+09,6.83E+09,6.37E+09,8.87E+09,1.00E+10,9.95E+09
Armenia,ARM,"Natural capital, agricultural land: cropland (constant 2018 US$)",NW.NCA.CROL.TO,5.92E+09,3.87E+09,3.50E+09,5.27E+09,5.42E+09,5.29E+09
Armenia,ARM,"Natural capital, agricultural land: pastureland (constant 2018 US$)",NW.NCA.PASL.TO,1.93E+09,2.96E+09,2.87E+09,3.61E+09,4.62E+09,4.66E+09
Armenia,ARM,"Natural capital, fisheries (constant 2018 US$)",NW.NCA.FISH.TO,0,0,0,0,0,0
Armenia,ARM,"Natural capital, forests: ecosystem services (constant 2018 US$)",NW.NCA.FECO.TO,3.90E+08,4.03E+08,7.55E+08,1.01E+09,1.12E+09,1.29E+09
Armenia,ARM,"Natural capital, forests: timber (constant 2018 US$)",NW.NCA.FTIM.TO,27918635,26479422,27640722,3.49E+08,7.36E+08,6.75E+08
Armenia,ARM,"Natural capital, fossil fuels (constant 2018 US$)",NW.NCA.FOSL.TO,0,0,0,0,0,882.0023
Armenia,ARM,"Natural capital, mangroves (constant 2018 US$)",NW.NCA.MANG.TO,0,0,0,0,0,0
Armenia,ARM,"Natural capital, nonrenewable assets (constant 2018 US$)",NW.NCA.SSOI.TO,1.68E+08,1.39E+08,1.29E+08,7.47E+08,1.68E+09,8.48E+08
Armenia,ARM,"Natural capital, nonrenewable assets: coal (constant 2018 US$)",NW.NCA.SACO.TO,0,0,0,0,0,882.0023
Armenia,ARM,"Natural capital, nonrenewable assets: gas (constant 2018 US$)",NW.NCA.SAGA.TO,0,0,0,0,0,0
Armenia,ARM,"Natural capital, nonrenewable assets: minerals (constant 2018 US$)",NW.NCA.MINR.TO,1.68E+08,1.39E+08,1.29E+08,7.47E+08,1.68E+09,8.48E+08
Armenia,ARM,"Natural capital, nonrenewable assets: oil (constant 2018 US$)",NW.NCA.SAOI.TO,0,0,0,0,0,0
Armenia,ARM,"Natural capital, protected areas (constant 2018 US$)",NW.NCA.PRAR.TO,9.70E+08,1.88E+09,1.55E+09,1.92E+09,2.69E+09,2.51E+09
Armenia,ARM,"Natural capital, renewable (constant 2018 US$)",NW.NCA.RNEW.TO,9.24E+09,9.13E+09,8.70E+09,1.21E+10,1.46E+10,1.44E+10
Armenia,ARM,Net foreign assets (constant 2018 US$),NW.NFA.TO,21544947,-2.90E+09,-2.90E+09,-6.60E+09,-8.20E+09,-9.40E+09
Armenia,ARM,Net foreign assets per capita (constant 2018 US$),NW.NFA.PC,6.696493,-933.018,-982.5,-2284.08,-2805.23,-3180.71
